brand_group_expanded,category
BENEFUL,DOG FOOD
BEYOND,DOG FOOD
CESAR,DOG FOOD
DOG CHOW LINE,DOG FOOD
FRESHPET,DOG FOOD
IAMS,DOG FOOD
MERRICK,DOG FOOD
PEDIGREE,DOG FOOD
PRO PLAN,DOG FOOD
PURINA ONE,DOG FOOD
RACHAEL RAY NUTRISH,DOG FOOD
ROYAL CANIN,DOG FOOD
BEYOND,CAT FOOD
CAT CHOW LINE,CAT FOOD
FANCY FEAST,CAT FOOD
FRISKIES,CAT FOOD
IAMS,CAT FOOD
MEOW MIX,CAT FOOD
PRO PLAN,CAT FOOD
PURINA ONE,CAT FOOD
RACHAEL RAY NUTRISH,CAT FOOD
ROYAL CANIN,CAT FOOD
SHEBA,CAT FOOD
BEGGIN',DOG TREATS ONLY
BUSY,DOG TREATS ONLY
DENTALIFE,DOG TREATS ONLY
GREENIES,DOG TREATS ONLY
MILK-BONE,DOG TREATS ONLY
NUTRO,DOG FOOD
PUP-PERONI,DOG TREATS ONLY
ZUKE'S,DOG TREATS ONLY
DENTALIFE,CAT TREATS ONLY
GREENIES,CAT TREATS ONLY
TEMPTATIONS,CAT TREATS ONLY
FRESH STEP,CAT LITTER
SCOOP AWAY,CAT LITTER
TIDY CATS,CAT LITTER
HILLS SCIENCE DIET,CAT FOOD
HILLS SCIENCE DIET,DOG FOOD
A&H,CAT LITTER
BLUE BUFFALO,CAT FOOD
BLUE BUFFALO,DOG FOOD
