Brand,Category,Price Class
CAT CHOW LINE,CAT FOOD,PREMIUM
FRISKIES,CAT FOOD,PREMIUM
MEOW MIX,CAT FOOD,PREMIUM
FANCY FEAST,CAT FOOD,SUPER PREMIUM
HILLS SCIENCE DIET,CAT FOOD,SUPER PREMIUM
IAMS,CAT FOOD,SUPER PREMIUM
PRO PLAN,CAT FOOD,SUPER PREMIUM
PURINA ONE,CAT FOOD,SUPER PREMIUM
RACHAEL RAY NUTRISH,CAT FOOD,SUPER PREMIUM
ROYAL CANIN,CAT FOOD,SUPER PREMIUM
SHEBA,CAT FOOD,SUPER PREMIUM
BEYOND,CAT FOOD,ULTRA
SCOOP AWAY,CAT LITTER,LITTER
A&H,CAT LITTER,LITTER
TIDY CATS,CAT LITTER,LITTER
FRESH STEP,CAT LITTER,LITTER
DENTALIFE,CAT TREATS ONLY,TREATS
GREENIES,CAT TREATS ONLY,TREATS
TEMPTATIONS,CAT TREATS ONLY,TREATS
BENEFUL,DOG FOOD,PREMIUM
DOG CHOW LINE,DOG FOOD,PREMIUM
PEDIGREE,DOG FOOD,PREMIUM
CESAR,DOG FOOD,SUPER PREMIUM
HILLS SCIENCE DIET,DOG FOOD,SUPER PREMIUM
IAMS,DOG FOOD,SUPER PREMIUM
PRO PLAN,DOG FOOD,SUPER PREMIUM
PURINA ONE,DOG FOOD,SUPER PREMIUM
ROYAL CANIN,DOG FOOD,SUPER PREMIUM
NUTRO,DOG FOOD,SUPER PREMIUM
RACHAEL RAY NUTRISH,DOG FOOD,SUPER PREMIUM
BEYOND,DOG FOOD,ULTRA
FRESHPET,DOG FOOD,ULTRA
MERRICK,DOG FOOD,ULTRA
BEGGIN',DOG TREATS ONLY,TREATS
BUSY,DOG TREATS ONLY,TREATS
DENTALIFE,DOG TREATS ONLY,TREATS
GREENIES,DOG TREATS ONLY,TREATS
MILK-BONE,DOG TREATS ONLY,TREATS
PUP-PERONI,DOG TREATS ONLY,TREATS
ZUKE'S,DOG TREATS ONLY,TREATS
